"Iy","Iz"
-1e-09,-0.02034
-1e-09,-0.02034
-1.05e-09,-0.02034
-1.05e-09,-0.02034
-1.05e-09,-0.02034
-1.05e-09,-0.02034
-1.1e-09,-0.02034
-1.1e-09,-0.02034
-1.1e-09,-0.02034
-1.15e-09,-0.02034
-1.15e-09,-0.02034
-1.15e-09,-0.02034
-1.2e-09,-0.02034
-1.2e-09,-0.02034
-1.2e-09,-0.02034
-1.25e-09,-0.02034
-1.25e-09,-0.02034
-1.25e-09,-0.02034
-1.3e-09,-0.02034
-1.3e-09,-0.02034
-1.3e-09,-0.02034
-1.35e-09,-0.02034
-1.35e-09,-0.02034
-1.35e-09,-0.02034
-1.4e-09,-0.02034
-1.4e-09,-0.02034
-1.45e-09,-0.02034
-1.45e-09,-0.02034
-1.45e-09,-0.02034
-1.5e-09,-0.02034
-1.5e-09,-0.02034
-1.55e-09,-0.02034
-1.55e-09,-0.02034
-1.6e-09,-0.02034
-1.6e-09,-0.02034
-1.6e-09,-0.02034
-1.65e-09,-0.02034
-1.65e-09,-0.02034
-1.7e-09,-0.02034
-1.7e-09,-0.02034
-1.75e-09,-0.02034
-1.75e-09,-0.02034
-1.8e-09,-0.02034
-1.8e-09,-0.02034
-1.85e-09,-0.02034
-1.85e-09,-0.02034
-1.9e-09,-0.02034
-1.9e-09,-0.02034
-1.95e-09,-0.02034
-1.95e-09,-0.02034
-2e-09,-0.02034
-2e-09,-0.02034
-2.05e-09,-0.02034
-2.1e-09,-0.02034
-2.1e-09,-0.02034
-2.15e-09,-0.02034
-2.15e-09,-0.02034
-2.2e-09,-0.02034
-2.25e-09,-0.02034
-2.25e-09,-0.02034
-2.3e-09,-0.02034
-2.3e-09,-0.02034
-2.35e-09,-0.02034
-2.4e-09,-0.02034
-2.4e-09,-0.02034
-2.45e-09,-0.02034
-2.5e-09,-0.02034
-2.55e-09,-0.02034
-2.55e-09,-0.02034
-2.6e-09,-0.02034
-2.65e-09,-0.02034
-2.65e-09,-0.02034
-2.7e-09,-0.02034
-2.75e-09,-0.02034
-2.8e-09,-0.02034
-2.8e-09,-0.02034
-2.85e-09,-0.02034
-2.9e-09,-0.02034
-2.95e-09,-0.02034
-3e-09,-0.02034
-3e-09,-0.02034
-3.05e-09,-0.02034
-3.1e-09,-0.02034
-3.15e-09,-0.02034
-3.2e-09,-0.02034
-3.25e-09,-0.02034
-3.3e-09,-0.02034
-3.35e-09,-0.02034
-3.4e-09,-0.02034
-3.4e-09,-0.02034
-3.45e-09,-0.02034
-3.5e-09,-0.02034
-3.55e-09,-0.02034
-3.6e-09,-0.02034
-3.65e-09,-0.02034
-3.7e-09,-0.02034
-3.75e-09,-0.02034
-3.8e-09,-0.02034
-3.9e-09,-0.02034
-3.95e-09,-0.02034
-4e-09,-0.02034
-4.05e-09,-0.02034
-4.1e-09,-0.02034
-4.15e-09,-0.02034
-4.2e-09,-0.02034
-4.25e-09,-0.02034
-4.35e-09,-0.02034
-4.4e-09,-0.02034
-4.45e-09,-0.02034
-4.5e-09,-0.02034
-4.6e-09,-0.02034
-4.65e-09,-0.02034
-4.7e-09,-0.02034
-4.75e-09,-0.02034
-4.85e-09,-0.02034
-4.9e-09,-0.02034
-4.95e-09,-0.02034
-5.05e-09,-0.02034
-5.1e-09,-0.02034
-5.2e-09,-0.02034
-5.25e-09,-0.02034
-5.35e-09,-0.02034
-5.4e-09,-0.02034
-5.5e-09,-0.02034
-5.55e-09,-0.02034
-5.65e-09,-0.02034
-5.7e-09,-0.02034
-5.8e-09,-0.02034
-5.85e-09,-0.02034
-5.95e-09,-0.02034
-6.05e-09,-0.02034
-6.1e-09,-0.02034
-6.2e-09,-0.02034
-6.3e-09,-0.02034
-6.4e-09,-0.02034
-6.45e-09,-0.02034
-6.55e-09,-0.02034
-6.65e-09,-0.02034
-6.75e-09,-0.02034
-6.85e-09,-0.02034
-6.95e-09,-0.02034
-7.05e-09,-0.02034
-7.15e-09,-0.02034
-7.25e-09,-0.02034
-7.35e-09,-0.02034
-7.45e-09,-0.02034
-7.55e-09,-0.02034
-7.65e-09,-0.02034
-7.75e-09,-0.02034
-7.85e-09,-0.02034
-7.95e-09,-0.02034
-8.05e-09,-0.02034
-8.2e-09,-0.02034
-8.3e-09,-0.02034
-8.4e-09,-0.02034
-8.55e-09,-0.02034
-8.65e-09,-0.02034
-8.75e-09,-0.02034
-8.9e-09,-0.02034
-9e-09,-0.02034
-9.15e-09,-0.02034
-9.25e-09,-0.02034
-9.4e-09,-0.02034
-9.55e-09,-0.02034
-9.65e-09,-0.02034
-9.8e-09,-0.02034
-9.95e-09,-0.02034
-1.005e-08,-0.02034
-1.02e-08,-0.02034
-1.035e-08,-0.02034
-1.05e-08,-0.02034
-1.065e-08,-0.02034
-1.08e-08,-0.02034
-1.095e-08,-0.02034
-1.11e-08,-0.02034
-1.125e-08,-0.02034
-1.14e-08,-0.02034
-1.155e-08,-0.02034
-1.17e-08,-0.02034
-1.19e-08,-0.02034
-1.205e-08,-0.02034
-1.22e-08,-0.02034
-1.24e-08,-0.02034
-1.255e-08,-0.02034
-1.275e-08,-0.02034
-1.29e-08,-0.02034
-1.31e-08,-0.02034
-1.33e-08,-0.02034
-1.345e-08,-0.02034
-1.365e-08,-0.02034
-1.385e-08,-0.02034
-1.405e-08,-0.02034
-1.425e-08,-0.02034
-1.445e-08,-0.02034
-1.465e-08,-0.02034
-1.485e-08,-0.02034
-1.505e-08,-0.02034
-1.525e-08,-0.02034
-1.545e-08,-0.02034
-1.565e-08,-0.02034
-1.59e-08,-0.02034
-1.61e-08,-0.02034
-1.635e-08,-0.02034
-1.655e-08,-0.02034
-1.68e-08,-0.02034
-1.705e-08,-0.02034
-1.725e-08,-0.02034
-1.75e-08,-0.02034
-1.775e-08,-0.02034
-1.8e-08,-0.02034
-1.825e-08,-0.02034
-1.85e-08,-0.02034
-1.875e-08,-0.02034
-1.9e-08,-0.02034
-1.93e-08,-0.02034
-1.955e-08,-0.02034
-1.985e-08,-0.02034
-2.01e-08,-0.02034
-2.04e-08,-0.02034
-2.065e-08,-0.02034
-2.095e-08,-0.02034
-2.125e-08,-0.02034
-2.155e-08,-0.02034
-2.185e-08,-0.02034
-2.215e-08,-0.02034
-2.245e-08,-0.02034
-2.275e-08,-0.02034
-2.31e-08,-0.02034
-2.34e-08,-0.02034
-2.375e-08,-0.02034
-2.405e-08,-0.02034
-2.44e-08,-0.02034
-2.475e-08,-0.02034
-2.51e-08,-0.02034
-2.545e-08,-0.02034
-2.58e-08,-0.02034
-2.615e-08,-0.02034
-2.65e-08,-0.02034
-2.69e-08,-0.02034
-2.725e-08,-0.02034
-2.765e-08,-0.02034
-2.8e-08,-0.02034
-2.84e-08,-0.02034
-2.88e-08,-0.02034
-2.92e-08,-0.02034
-2.96e-08,-0.02034
-3e-08,-0.02034
-3.045e-08,-0.02034
-3.085e-08,-0.02034
-3.13e-08,-0.02034
-3.175e-08,-0.02034
-3.215e-08,-0.02034
-3.26e-08,-0.02034
-3.31e-08,-0.02034
-3.355e-08,-0.02034
